eventType,stream,eventTime,transactionTime,bestBidPrice,bestAskPrice
depthUpdate,btcusdt@depth5,1662123212528,1662123212518,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123212779,1662123212773,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123213029,1662123213020,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123213280,1662123213273,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123213530,1662123213523,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123213781,1662123213775,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123214032,1662123214027,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123214283,1662123214278,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123214536,1662123214529,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123214786,1662123214779,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123215036,1662123215032,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123215287,1662123215280,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123215537,1662123215531,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123215787,1662123215781,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123216038,1662123216032,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123216288,1662123216247,20266.90,20267.00
depthUpdate,btcusdt@depth5,1662123216544,1662123216538,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123216794,1662123216786,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123217044,1662123217038,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123217295,1662123217290,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123217548,1662123217543,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123217802,1662123217796,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123218053,1662123218047,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123218303,1662123218297,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123218553,1662123218548,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123218804,1662123218798,20266.80,20266.90
depthUpdate,btcusdt@depth5,1662123219055,1662123219041,20267.40,20267.50
depthUpdate,btcusdt@depth5,1662123219305,1662123219299,20267.40,20267.50
depthUpdate,btcusdt@depth5,1662123219555,1662123219551,20268.10,20268.20
depthUpdate,btcusdt@depth5,1662123219806,1662123219801,20270.60,20270.70
depthUpdate,btcusdt@depth5,1662123220057,1662123220038,20270.60,20270.70
depthUpdate,btcusdt@depth5,1662123220310,1662123220299,20270.60,20270.70
depthUpdate,btcusdt@depth5,1662123220579,1662123220545,20269.10,20269.20
depthUpdate,btcusdt@depth5,1662123220831,1662123220817,20269.10,20269.20
depthUpdate,btcusdt@depth5,1662123221101,1662123221094,20267.70,20268.10
depthUpdate,btcusdt@depth5,1662123221354,1662123221335,20266.10,20266.20
depthUpdate,btcusdt@depth5,1662123221604,1662123221598,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123221854,1662123221846,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123222104,1662123222098,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123222356,1662123222350,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123222606,1662123222600,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123222856,1662123222850,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123223106,1662123223100,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123223357,1662123223353,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123223609,1662123223603,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123223860,1662123223854,20265.90,20266.00
depthUpdate,btcusdt@depth5,1662123224111,1662123224105,20265.70,20265.80
depthUpdate,btcusdt@depth5,1662123224361,1662123224357,20265.70,20265.80
depthUpdate,btcusdt@depth5,1662123224611,1662123224596,20261.50,20261.60
depthUpdate,btcusdt@depth5,1662123224862,1662123224834,20258.90,20259.00
depthUpdate,btcusdt@depth5,1662123225112,1662123225106,20258.90,20259.00
depthUpdate,btcusdt@depth5,1662123225364,1662123225359,20258.90,20259.00
depthUpdate,btcusdt@depth5,1662123225614,1662123225606,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123225864,1662123225859,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123226114,1662123226104,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123226365,1662123226359,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123226615,1662123226609,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123226865,1662123226857,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123227115,1662123227109,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123227368,1662123227362,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123227619,1662123227613,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123227869,1662123227863,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123228119,1662123228110,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123228371,1662123228365,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123228621,1662123228616,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123228872,1662123228866,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123229122,1662123229116,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123229373,1662123229368,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123229623,1662123229619,20264.00,20264.10
depthUpdate,btcusdt@depth5,1662123229874,1662123229868,20264.00,20264.10
depthUpdate,btcusdt@depth5,1662123230124,1662123230118,20264.00,20264.10
depthUpdate,btcusdt@depth5,1662123230375,1662123230367,20264.00,20264.10
depthUpdate,btcusdt@depth5,1662123230625,1662123230621,20264.00,20264.10
depthUpdate,btcusdt@depth5,1662123230876,1662123230871,20262.90,20263.00
depthUpdate,btcusdt@depth5,1662123231126,1662123231118,20262.90,20263.00
depthUpdate,btcusdt@depth5,1662123231379,1662123231373,20262.90,20263.00
depthUpdate,btcusdt@depth5,1662123231630,1662123231624,20262.90,20263.00
depthUpdate,btcusdt@depth5,1662123231881,1662123231877,20265.60,20265.70
depthUpdate,btcusdt@depth5,1662123232132,1662123232128,20265.80,20265.90
depthUpdate,btcusdt@depth5,1662123232383,1662123232375,20265.80,20265.90
depthUpdate,btcusdt@depth5,1662123232633,1662123232625,20262.20,20262.30
depthUpdate,btcusdt@depth5,1662123232883,1662123232877,20262.20,20262.30
depthUpdate,btcusdt@depth5,1662123233134,1662123233126,20262.20,20262.30
depthUpdate,btcusdt@depth5,1662123233385,1662123233380,20262.20,20262.30
depthUpdate,btcusdt@depth5,1662123233636,1662123233630,20262.20,20262.30
depthUpdate,btcusdt@depth5,1662123233886,1662123233881,20261.70,20261.80
depthUpdate,btcusdt@depth5,1662123234137,1662123234130,20259.10,20259.20
depthUpdate,btcusdt@depth5,1662123234388,1662123234382,20259.10,20259.20
depthUpdate,btcusdt@depth5,1662123234638,1662123234632,20260.00,20260.10
depthUpdate,btcusdt@depth5,1662123234888,1662123234882,20261.10,20261.20
depthUpdate,btcusdt@depth5,1662123235141,1662123235135,20261.10,20261.20
depthUpdate,btcusdt@depth5,1662123235391,1662123235384,20262.20,20262.30
depthUpdate,btcusdt@depth5,1662123235641,1662123235629,20265.70,20265.80
depthUpdate,btcusdt@depth5,1662123235893,1662123235887,20265.80,20265.90
depthUpdate,btcusdt@depth5,1662123236143,1662123236137,20265.80,20265.90
depthUpdate,btcusdt@depth5,1662123236394,1662123236386,20265.80,20265.90
depthUpdate,btcusdt@depth5,1662123236644,1662123236634,20268.80,20268.90
depthUpdate,btcusdt@depth5,1662123236894,1662123236888,20268.80,20268.90
depthUpdate,btcusdt@depth5,1662123237145,1662123237136,20268.80,20268.90
depthUpdate,btcusdt@depth5,1662123237395,1662123237388,20268.80,20268.90
depthUpdate,btcusdt@depth5,1662123237645,1662123237642,20268.80,20268.90
depthUpdate,btcusdt@depth5,1662123237896,1662123237890,20268.80,20268.90
depthUpdate,btcusdt@depth5,1662123238146,1662123238140,20266.30,20266.40
depthUpdate,btcusdt@depth5,1662123238396,1662123238390,20266.30,20266.40
depthUpdate,btcusdt@depth5,1662123238646,1662123238640,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123238897,1662123238891,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123239147,1662123239142,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123239397,1662123239390,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123239647,1662123239639,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123239898,1662123239892,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123240148,1662123240141,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123240398,1662123240390,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123240648,1662123240643,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123240899,1662123240891,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123241149,1662123241144,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123241399,1662123241395,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123241649,1662123241644,20267.90,20268.00
depthUpdate,btcusdt@depth5,1662123241899,1662123241894,20269.10,20269.20
depthUpdate,btcusdt@depth5,1662123242149,1662123242143,20271.30,20271.40
depthUpdate,btcusdt@depth5,1662123242399,1662123242394,20271.30,20271.40
depthUpdate,btcusdt@depth5,1662123242651,1662123242645,20273.20,20273.30
depthUpdate,btcusdt@depth5,1662123242901,1662123242896,20273.30,20273.40
depthUpdate,btcusdt@depth5,1662123243152,1662123243131,20277.60,20277.80
depthUpdate,btcusdt@depth5,1662123243410,1662123243321,20278.10,20278.20
depthUpdate,btcusdt@depth5,1662123243662,1662123243656,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123243913,1662123243907,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123244163,1662123244155,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123244413,1662123244408,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123244664,1662123244659,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123244915,1662123244909,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123245165,1662123245160,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123245416,1662123245411,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123245667,1662123245662,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123245918,1662123245913,20279.30,20279.40
depthUpdate,btcusdt@depth5,1662123246169,1662123246162,20279.30,20279.40
depthUpdate,btcusdt@depth5,1662123246420,1662123246403,20275.10,20275.20
depthUpdate,btcusdt@depth5,1662123246670,1662123246664,20274.00,20274.10
depthUpdate,btcusdt@depth5,1662123246920,1662123246914,20273.50,20273.60
depthUpdate,btcusdt@depth5,1662123247170,1662123247165,20273.20,20273.30
depthUpdate,btcusdt@depth5,1662123247420,1662123247414,20273.10,20273.20
depthUpdate,btcusdt@depth5,1662123247671,1662123247666,20273.10,20273.20
depthUpdate,btcusdt@depth5,1662123247923,1662123247917,20273.10,20273.20
depthUpdate,btcusdt@depth5,1662123248175,1662123248170,20273.10,20273.20
depthUpdate,btcusdt@depth5,1662123248426,1662123248421,20273.10,20273.20
depthUpdate,btcusdt@depth5,1662123248677,1662123248670,20273.10,20273.20
depthUpdate,btcusdt@depth5,1662123248928,1662123248922,20273.10,20273.20
depthUpdate,btcusdt@depth5,1662123249178,1662123249171,20273.10,20273.20
depthUpdate,btcusdt@depth5,1662123249428,1662123249423,20273.90,20274.00
depthUpdate,btcusdt@depth5,1662123249678,1662123249673,20271.80,20271.90
depthUpdate,btcusdt@depth5,1662123249929,1662123249923,20271.70,20271.80
depthUpdate,btcusdt@depth5,1662123250179,1662123250175,20271.40,20271.50
depthUpdate,btcusdt@depth5,1662123250430,1662123250424,20272.90,20273.00
depthUpdate,btcusdt@depth5,1662123250680,1662123250673,20272.90,20273.00
depthUpdate,btcusdt@depth5,1662123250930,1662123250925,20272.90,20273.00
depthUpdate,btcusdt@depth5,1662123251182,1662123251178,20273.10,20273.20
depthUpdate,btcusdt@depth5,1662123251432,1662123251427,20274.90,20275.00
depthUpdate,btcusdt@depth5,1662123251683,1662123251679,20274.90,20275.00
depthUpdate,btcusdt@depth5,1662123251934,1662123251928,20274.90,20275.00
depthUpdate,btcusdt@depth5,1662123252184,1662123252178,20274.90,20275.00
depthUpdate,btcusdt@depth5,1662123252435,1662123252430,20274.90,20275.00
depthUpdate,btcusdt@depth5,1662123252686,1662123252680,20274.90,20275.00
depthUpdate,btcusdt@depth5,1662123252936,1662123252930,20274.90,20275.00
depthUpdate,btcusdt@depth5,1662123253186,1662123253179,20274.90,20275.00
depthUpdate,btcusdt@depth5,1662123253441,1662123253434,20274.90,20275.00
depthUpdate,btcusdt@depth5,1662123253691,1662123253685,20273.70,20273.80
depthUpdate,btcusdt@depth5,1662123253941,1662123253936,20273.70,20273.80
depthUpdate,btcusdt@depth5,1662123254191,1662123254186,20273.70,20273.80
depthUpdate,btcusdt@depth5,1662123254444,1662123254438,20273.70,20273.80
depthUpdate,btcusdt@depth5,1662123254694,1662123254688,20273.70,20273.80
depthUpdate,btcusdt@depth5,1662123254944,1662123254928,20276.20,20276.30
depthUpdate,btcusdt@depth5,1662123255194,1662123255189,20276.20,20276.30
depthUpdate,btcusdt@depth5,1662123255444,1662123255439,20277.60,20277.70
depthUpdate,btcusdt@depth5,1662123255694,1662123255689,20277.80,20277.90
depthUpdate,btcusdt@depth5,1662123255947,1662123255928,20279.80,20280.00
depthUpdate,btcusdt@depth5,1662123256200,1662123256191,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123256450,1662123256445,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123256700,1662123256694,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123256951,1662123256947,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123257204,1662123257198,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123257455,1662123257449,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123257706,1662123257699,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123257956,1662123257951,20281.70,20281.80
depthUpdate,btcusdt@depth5,1662123258208,1662123258203,20281.70,20281.80
depthUpdate,btcusdt@depth5,1662123258459,1662123258453,20281.70,20281.80
depthUpdate,btcusdt@depth5,1662123258709,1662123258703,20280.50,20280.60
depthUpdate,btcusdt@depth5,1662123258959,1662123258955,20280.50,20280.60
depthUpdate,btcusdt@depth5,1662123259210,1662123259204,20280.50,20280.60
depthUpdate,btcusdt@depth5,1662123259460,1662123259455,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123259711,1662123259706,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123259962,1662123259956,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123260212,1662123260207,20279.90,20280.00
depthUpdate,btcusdt@depth5,1662123260465,1662123260458,20277.60,20277.70
depthUpdate,btcusdt@depth5,1662123260715,1662123260709,20277.60,20277.70
