eventType,stream,eventTime,transactionTime,bestBidPrice,bestAskPrice
depthUpdate,ethusdt@depth5,1662123212439,1662123212433,1620.96,1620.97
depthUpdate,ethusdt@depth5,1662123212691,1662123212684,1620.96,1620.97
depthUpdate,ethusdt@depth5,1662123212941,1662123212935,1620.96,1620.97
depthUpdate,ethusdt@depth5,1662123213191,1662123213184,1620.96,1620.97
depthUpdate,ethusdt@depth5,1662123213441,1662123213435,1621.12,1621.13
depthUpdate,ethusdt@depth5,1662123213691,1662123213686,1621.12,1621.13
depthUpdate,ethusdt@depth5,1662123213942,1662123213937,1620.84,1620.85
depthUpdate,ethusdt@depth5,1662123214192,1662123214185,1620.90,1620.91
depthUpdate,ethusdt@depth5,1662123214444,1662123214438,1620.96,1620.97
depthUpdate,ethusdt@depth5,1662123214694,1662123214687,1621.23,1621.24
depthUpdate,ethusdt@depth5,1662123214945,1662123214938,1621.23,1621.24
depthUpdate,ethusdt@depth5,1662123215196,1662123215181,1621.46,1621.47
depthUpdate,ethusdt@depth5,1662123215447,1662123215441,1621.46,1621.47
depthUpdate,ethusdt@depth5,1662123215697,1662123215692,1621.46,1621.47
depthUpdate,ethusdt@depth5,1662123215948,1662123215944,1620.92,1620.93
depthUpdate,ethusdt@depth5,1662123216199,1662123216193,1621.07,1621.08
depthUpdate,ethusdt@depth5,1662123216449,1662123216443,1621.06,1621.07
depthUpdate,ethusdt@depth5,1662123216699,1662123216694,1621.47,1621.48
depthUpdate,ethusdt@depth5,1662123216950,1662123216945,1621.16,1621.17
depthUpdate,ethusdt@depth5,1662123217201,1662123217196,1621.30,1621.31
depthUpdate,ethusdt@depth5,1662123217451,1662123217444,1621.30,1621.31
depthUpdate,ethusdt@depth5,1662123217702,1662123217697,1621.11,1621.12
depthUpdate,ethusdt@depth5,1662123217952,1662123217946,1621.43,1621.44
depthUpdate,ethusdt@depth5,1662123218203,1662123218198,1621.24,1621.26
depthUpdate,ethusdt@depth5,1662123218454,1662123218448,1621.22,1621.23
depthUpdate,ethusdt@depth5,1662123218706,1662123218701,1621.22,1621.23
depthUpdate,ethusdt@depth5,1662123218957,1662123218947,1621.61,1621.62
depthUpdate,ethusdt@depth5,1662123219207,1662123219199,1621.57,1621.58
depthUpdate,ethusdt@depth5,1662123219457,1662123219452,1621.47,1621.48
depthUpdate,ethusdt@depth5,1662123219708,1662123219700,1621.79,1621.80
depthUpdate,ethusdt@depth5,1662123219958,1662123219949,1621.49,1621.85
depthUpdate,ethusdt@depth5,1662123220221,1662123220204,1621.52,1621.53
depthUpdate,ethusdt@depth5,1662123220486,1662123220479,1621.43,1621.50
depthUpdate,ethusdt@depth5,1662123220736,1662123220725,1621.31,1621.38
depthUpdate,ethusdt@depth5,1662123220986,1662123220977,1621.20,1621.22
depthUpdate,ethusdt@depth5,1662123221239,1662123221230,1621.04,1621.07
depthUpdate,ethusdt@depth5,1662123221489,1662123221463,1620.87,1620.88
depthUpdate,ethusdt@depth5,1662123221739,1662123221734,1620.87,1620.88
depthUpdate,ethusdt@depth5,1662123221991,1662123221985,1620.87,1620.88
depthUpdate,ethusdt@depth5,1662123222241,1662123222233,1620.87,1620.88
depthUpdate,ethusdt@depth5,1662123222491,1662123222487,1620.50,1620.51
depthUpdate,ethusdt@depth5,1662123222743,1662123222739,1620.50,1620.51
depthUpdate,ethusdt@depth5,1662123222994,1662123222989,1620.50,1620.51
depthUpdate,ethusdt@depth5,1662123223245,1662123223240,1620.40,1620.41
depthUpdate,ethusdt@depth5,1662123223496,1662123223490,1620.24,1620.25
depthUpdate,ethusdt@depth5,1662123223750,1662123223745,1620.40,1620.41
depthUpdate,ethusdt@depth5,1662123224000,1662123223995,1620.40,1620.41
depthUpdate,ethusdt@depth5,1662123224251,1662123224245,1620.25,1620.26
depthUpdate,ethusdt@depth5,1662123224501,1662123224495,1620.25,1620.26
depthUpdate,ethusdt@depth5,1662123224751,1662123224729,1619.59,1619.60
depthUpdate,ethusdt@depth5,1662123225003,1662123224997,1619.46,1619.47
depthUpdate,ethusdt@depth5,1662123225253,1662123225248,1619.72,1619.73
depthUpdate,ethusdt@depth5,1662123225504,1662123225499,1619.89,1619.98
depthUpdate,ethusdt@depth5,1662123225754,1662123225748,1620.14,1620.15
depthUpdate,ethusdt@depth5,1662123226004,1662123225997,1620.14,1620.15
depthUpdate,ethusdt@depth5,1662123226254,1662123226247,1620.14,1620.15
depthUpdate,ethusdt@depth5,1662123226504,1662123226498,1620.31,1620.32
depthUpdate,ethusdt@depth5,1662123226754,1662123226749,1620.31,1620.32
depthUpdate,ethusdt@depth5,1662123227005,1662123227000,1620.23,1620.24
depthUpdate,ethusdt@depth5,1662123227255,1662123227249,1620.06,1620.07
depthUpdate,ethusdt@depth5,1662123227506,1662123227500,1620.06,1620.07
depthUpdate,ethusdt@depth5,1662123227757,1662123227751,1620.06,1620.07
depthUpdate,ethusdt@depth5,1662123228008,1662123228002,1620.06,1620.07
depthUpdate,ethusdt@depth5,1662123228258,1662123228254,1620.06,1620.07
depthUpdate,ethusdt@depth5,1662123228509,1662123228503,1620.22,1620.23
depthUpdate,ethusdt@depth5,1662123228759,1662123228754,1620.22,1620.23
depthUpdate,ethusdt@depth5,1662123229012,1662123229006,1620.22,1620.23
depthUpdate,ethusdt@depth5,1662123229264,1662123229258,1620.22,1620.23
depthUpdate,ethusdt@depth5,1662123229514,1662123229485,1620.47,1620.48
depthUpdate,ethusdt@depth5,1662123229764,1662123229759,1620.47,1620.48
depthUpdate,ethusdt@depth5,1662123230015,1662123230009,1620.47,1620.48
depthUpdate,ethusdt@depth5,1662123230268,1662123230265,1620.53,1620.54
depthUpdate,ethusdt@depth5,1662123230522,1662123230517,1620.53,1620.54
depthUpdate,ethusdt@depth5,1662123230772,1662123230766,1620.53,1620.54
depthUpdate,ethusdt@depth5,1662123231022,1662123231017,1620.61,1620.62
depthUpdate,ethusdt@depth5,1662123231273,1662123231267,1620.61,1620.62
depthUpdate,ethusdt@depth5,1662123231524,1662123231518,1620.61,1620.62
depthUpdate,ethusdt@depth5,1662123231774,1662123231761,1620.87,1620.88
depthUpdate,ethusdt@depth5,1662123232024,1662123232017,1620.89,1620.90
depthUpdate,ethusdt@depth5,1662123232276,1662123232272,1620.62,1620.63
depthUpdate,ethusdt@depth5,1662123232527,1662123232522,1620.70,1620.71
depthUpdate,ethusdt@depth5,1662123232778,1662123232772,1620.74,1620.75
depthUpdate,ethusdt@depth5,1662123233028,1662123233022,1620.60,1620.61
depthUpdate,ethusdt@depth5,1662123233278,1662123233272,1620.47,1620.48
depthUpdate,ethusdt@depth5,1662123233528,1662123233521,1620.20,1620.21
depthUpdate,ethusdt@depth5,1662123233778,1662123233771,1620.15,1620.16
depthUpdate,ethusdt@depth5,1662123234028,1662123234021,1620.15,1620.16
depthUpdate,ethusdt@depth5,1662123234278,1662123234274,1620.15,1620.16
depthUpdate,ethusdt@depth5,1662123234530,1662123234525,1620.15,1620.16
depthUpdate,ethusdt@depth5,1662123234781,1662123234775,1620.20,1620.21
depthUpdate,ethusdt@depth5,1662123235033,1662123235028,1620.40,1620.41
depthUpdate,ethusdt@depth5,1662123235284,1662123235278,1620.40,1620.41
depthUpdate,ethusdt@depth5,1662123235534,1662123235523,1620.49,1620.59
depthUpdate,ethusdt@depth5,1662123235785,1662123235780,1620.94,1620.95
depthUpdate,ethusdt@depth5,1662123236035,1662123236029,1620.95,1620.96
depthUpdate,ethusdt@depth5,1662123236285,1662123236281,1620.95,1620.96
depthUpdate,ethusdt@depth5,1662123236536,1662123236532,1620.96,1620.97
depthUpdate,ethusdt@depth5,1662123236787,1662123236782,1621.24,1621.25
depthUpdate,ethusdt@depth5,1662123237037,1662123237031,1621.24,1621.25
depthUpdate,ethusdt@depth5,1662123237288,1662123237280,1621.24,1621.25
